17:19:36.426744, 75.28084415584415
17:19:36.473773, 75.28084415584415
17:19:36.521608, 75.28084415584415
17:19:36.569646, 75.28084415584415
17:19:37.638826, 86.68184210526316
17:19:37.684826, 86.68184210526316
17:19:37.730264, 86.68184210526316
17:19:37.781207, 86.68184210526316
17:19:37.828106, 84.72258669165886
17:19:37.874943, 84.72258669165886
17:19:37.922442, 84.72258669165886
17:19:37.969852, 84.72258669165886
17:19:38.427171, 82.50950744558992
17:19:38.470509, 82.50950744558992
17:19:38.516901, 82.50950744558992
17:19:38.560520, 82.50950744558992
17:19:41.071356, 82.92117697594502
17:19:41.114374, 82.92117697594502
17:19:41.162374, 82.92117697594502
17:19:41.208859, 82.92117697594502
17:19:41.422998, 83.79160997732426
17:19:41.469442, 83.79160997732426
17:19:41.515108, 83.79160997732426
17:19:41.560108, 83.79160997732426
17:19:42.004067, 85.687903572966
17:19:42.048415, 85.687903572966
17:19:42.093836, 85.687903572966
17:19:42.140000, 85.687903572966
17:19:50.720309, nan
17:19:50.767068, nan
17:19:50.814569, nan
17:19:50.861569, nan
17:19:56.537042, 84.22547619047619
17:19:56.583745, 84.22547619047619
17:19:56.632358, 84.22547619047619
17:19:56.677697, 84.22547619047619
17:20:29.121368, 73.88247422680412
17:20:29.168181, 73.88247422680412
17:20:29.216153, 73.88247422680412
17:20:29.262153, 73.88247422680412
17:20:33.318894, 82.45616348055373
17:20:33.363312, 82.45616348055373
17:20:33.410303, 82.45616348055373
17:20:33.456116, 82.45616348055373
17:21:06.853864, nan
17:21:06.901212, nan
17:21:06.947477, nan
17:21:06.994068, nan
17:21:07.058640, 56.9628841607565
17:21:07.108451, 56.9628841607565
17:21:07.151512, 56.9628841607565
17:21:07.200570, 56.9628841607565
17:21:08.090298, 108.80269989615785
17:21:08.137515, 108.80269989615785
17:21:08.185888, 108.80269989615785
17:21:08.233248, 108.80269989615785
17:21:08.284013, 112.35077012496367
17:21:08.333882, 112.35077012496367
17:21:08.380517, 112.35077012496367
17:21:08.427832, 112.35077012496367
17:21:08.490167, nan
17:21:08.541444, nan
17:21:08.589010, nan
17:21:08.635597, nan
17:21:08.701777, 105.30499031007751
17:21:08.748286, 105.30499031007751
17:21:08.794953, 105.30499031007751
17:21:08.841547, 105.30499031007751
17:21:09.862035, 87.80977266788608
17:21:09.908984, 87.80977266788608
17:21:09.955381, 87.80977266788608
17:21:10.045795, 84.37721631205673
17:21:10.093455, 84.37721631205673
17:21:10.143038, 84.37721631205673
17:21:18.642783, nan
17:21:18.689676, nan
17:21:18.738328, nan
17:21:18.787387, nan
17:21:24.506913, nan
17:21:24.552906, nan
17:21:24.600368, nan
17:21:32.660457, 230.1882408724514
17:21:32.707940, 230.1882408724514
17:21:32.754791, 230.1882408724514
17:21:32.801462, 230.1882408724514
17:22:13.374015, 93.27930107526882
17:22:13.421792, 93.27930107526882
17:22:13.468661, 93.27930107526882
17:22:13.516218, 93.27930107526882
17:22:29.691972, 87.45939393939393
17:22:29.739832, 87.45939393939393
17:22:29.786786, 87.45939393939393
17:22:29.836711, 87.45939393939393
17:22:29.899987, 87.00242248062015
17:22:29.947106, 87.00242248062015
17:22:29.993869, 87.00242248062015
17:22:30.041435, 87.00242248062015
17:23:21.168774, 91.2715173025732
17:23:21.223574, 91.2715173025732
17:23:21.274004, 91.2715173025732
17:23:21.325745, 91.2715173025732
17:23:21.677289, 100.5986050986051
17:23:21.723444, 100.5986050986051
17:23:21.769885, 100.5986050986051
17:23:22.091804, 106.0846920289855
17:23:22.135064, 106.0846920289855
17:23:22.179103, 106.0846920289855
17:23:22.224651, 106.0846920289855
17:23:22.273246, nan
17:23:22.315684, nan
17:23:22.362391, nan
17:23:22.407396, nan
17:24:32.418395, nan
17:24:32.480594, nan
17:24:32.521319, nan
17:24:32.563102, nan
17:24:33.014000, 65.04952153110048
17:24:33.059668, 65.04952153110048
17:24:33.103016, 65.04952153110048
17:24:33.146481, 65.04952153110048
17:24:33.207486, 65.57169287696577
17:24:33.250210, 65.57169287696577
17:24:33.297995, 65.57169287696577
17:24:33.340453, 65.57169287696577
17:24:35.838041, 73.52127659574468
17:24:35.879927, 73.52127659574468
17:24:35.923413, 73.52127659574468
17:24:35.965741, 73.52127659574468
17:24:36.030196, 68.67938596491229
17:24:36.075897, 68.67938596491229
17:24:36.120649, 68.67938596491229
17:24:36.166515, 68.67938596491229
17:24:37.267192, 73.19458762886597
17:24:37.308916, 73.19458762886597
17:24:37.353584, 73.19458762886597
17:24:37.396052, 73.19458762886597
17:24:42.967498, nan
17:24:43.008335, nan
17:24:43.051335, nan
17:24:43.093503, nan
17:24:44.496931, 71.27669366715759
17:24:44.541169, 71.27669366715759
17:24:44.584169, 71.27669366715759
17:24:44.628032, 71.27669366715759
17:24:45.926740, 73.55192743764172
17:24:45.969109, 73.55192743764172
17:24:46.011938, 73.55192743764172
17:24:46.063977, 73.55192743764172
17:24:56.574574, 104.90306122448979
17:24:56.617574, 104.90306122448979
17:24:56.661427, 104.90306122448979
17:24:56.707786, 104.90306122448979
17:24:56.774774, 100.34089068825911
17:24:56.822657, 100.34089068825911
17:24:56.867706, 100.34089068825911
17:24:56.911032, 100.34089068825911
17:24:57.115190, 104.43471444568868
17:24:57.159911, 104.43471444568868
17:24:57.204130, 104.43471444568868
17:24:57.248150, 104.43471444568868
17:24:57.298368, 108.86673684210527
17:24:57.341775, 108.86673684210527
17:24:57.385984, 108.86673684210527
17:24:57.430130, 108.86673684210527
17:24:59.245594, 91.67436974789916
17:24:59.290861, 91.67436974789916
